standard_name,raw_names,logo_url,group_name,tvg_id,tvg_chno,tvg_shift,catchup,catchup_days,catchup_source,resolution
内蒙古卫视,239.21.1.41:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/内蒙古/内蒙古卫视2.png,⭐ 卫视频道,内蒙古卫视,130,0,default,7,http://150.138.8.143/00/SNM/CHANNEL00000040/index.m3u8?startTime=${(b)10}&endTime=${(e)10},720x576
宁夏卫视,239.21.2.189:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/宁夏/宁夏卫视2.png,⭐ 卫视频道,宁夏卫视,131,0,default,7,http://150.138.8.143/00/SNM/CHANNEL00000395/index.m3u8?startTime=${(b)10}&endTime=${(e)10},1920x1080
宁夏卫视,239.21.1.44:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/宁夏/宁夏卫视2.png,⭐ 卫视频道,宁夏卫视,132,0,none,0,http://150.138.8.143/00/SNM/CHANNEL00000043/index.m3u8?startTime=${(b)10}&endTime=${(e)10},720x576
新疆卫视,239.21.2.187:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/新疆/新疆卫视2.png,⭐ 卫视频道,新疆卫视,133,0,default,7,http://150.138.8.143/00/SNM/CHANNEL00000393/index.m3u8?startTime=${(b)10}&endTime=${(e)10},1920x1080
新疆卫视,239.21.1.45:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/新疆/新疆卫视2.png,⭐ 卫视频道,新疆卫视,134,0,none,0,http://150.138.8.143/00/SNM/CHANNEL00000044/index.m3u8?startTime=${(b)10}&endTime=${(e)10},720x576
甘肃卫视,239.21.2.22:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/甘肃/甘肃卫视2.png,⭐ 卫视频道,甘肃卫视,135,0,default,7,http://150.138.8.143/00/SNM/CHANNEL00000349/index.m3u8?startTime=${(b)10}&endTime=${(e)10},1920x1080
青海卫视,239.21.2.51:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/青海/青海卫视2.png,⭐ 卫视频道,青海卫视,136,0,default,7,http://150.138.8.143/00/SNM/CHANNEL00000366/index.m3u8?startTime=${(b)10}&endTime=${(e)10},1920x1080
青海卫视,239.21.2.85:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/青海/青海卫视2.png,⭐ 卫视频道,青海卫视,137,0,default,7,http://150.138.8.143/00/SNM/CHANNEL00000366/index.m3u8?startTime=${(b)10}&endTime=${(e)10},1920x1080
西藏卫视,239.21.2.186:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/西藏/西藏卫视2.png,⭐ 卫视频道,西藏卫视,138,0,default,7,http://150.138.8.143/00/SNM/CHANNEL00000392/index.m3u8?startTime=${(b)10}&endTime=${(e)10},1920x1080
西藏卫视,239.21.1.46:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/西藏/西藏卫视2.png,⭐ 卫视频道,西藏卫视,139,0,none,0,http://150.138.8.143/00/SNM/CHANNEL00000045/index.m3u8?startTime=${(b)10}&endTime=${(e)10},720x576
兵团卫视,239.21.2.188:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/新疆/兵团卫视2.png,⭐ 卫视频道,兵团卫视,140,0,default,7,http://150.138.8.143/00/SNM/CHANNEL00000394/index.m3u8?startTime=${(b)10}&endTime=${(e)10},1920x1080
兵团卫视,239.21.1.234:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/新疆/兵团卫视2.png,⭐ 卫视频道,兵团卫视,141,0,none,0,http://150.138.8.143/00/SNM/CHANNEL00000071/index.m3u8?startTime=${(b)10}&endTime=${(e)10},720x576
三沙卫视,239.21.2.9:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/海南/三沙卫视3.png,⭐ 卫视频道,三沙卫视,142,0,default,7,http://150.138.8.143/00/SNM/CHANNEL00000078/index.m3u8?startTime=${(b)10}&endTime=${(e)10},720x576
农林卫视,239.21.1.235:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/陕西/农林卫视2.png,⭐ 卫视频道,农林卫视,143,0,default,7,http://150.138.8.143/00/SNM/CHANNEL00000072/index.m3u8?startTime=${(b)10}&endTime=${(e)10},720x576
厦门卫视,239.21.2.6:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/福建/厦门卫视3.png,⭐ 卫视频道,厦门卫视,144,0,default,7,http://150.138.8.143/00/SNM/CHANNEL00000075/index.m3u8?startTime=${(b)10}&endTime=${(e)10},720x576
延边卫视,239.21.2.137:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/吉林/延边卫视.png,⭐ 卫视频道,延边卫视,145,0,default,7,http://150.138.8.143/00/SNM/CHANNEL00000668/index.m3u8?startTime=${(b)10}&endTime=${(e)10},720x576
CCTV-4K 超高清,239.21.2.152:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/CCTV/CCTV4K.png,💎 4K超高清,CCTV4K,201,0,default,7,rtsp://150.138.8.132/PLTV/88888888/224/3221227239/494657502.smil?playseek=${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss},3840x2160
